timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250618_134203,82e8dc373feb,spark-master,10.83%,757.3MiB / 4GiB,18.49%,47.1MB / 76.4MB,0B / 0B,113
20250618_134210,8896faf2c28a,spark-worker-3,192.13%,1.767GiB / 10GiB,17.67%,5.08GB / 5.42GB,0B / 0B,78
20250618_134210,bd3eccc510a1,spark-worker-2,200.10%,1.447GiB / 10GiB,14.47%,5.36GB / 5.17GB,0B / 0B,77
20250618_134210,72ea5f833e39,spark-worker-1,195.77%,1.796GiB / 10GiB,17.96%,5.3GB / 5.41GB,0B / 0B,77
20250618_134210,d9db3658c991,spark-worker-4,196.58%,1.385GiB / 10GiB,13.85%,5.41GB / 5.32GB,0B / 0B,77
20250618_134210,ec39dfa29337,spark-worker-5,196.36%,1.32GiB / 10GiB,13.20%,5.4GB / 5.21GB,0B / 0B,77
20250618_134210,82e8dc373feb,spark-master,1.39%,757.4MiB / 4GiB,18.49%,47.2MB / 76.4MB,0B / 0B,113
20250618_134218,8896faf2c28a,spark-worker-3,197.08%,1.768GiB / 10GiB,17.68%,5.08GB / 5.42GB,0B / 0B,78
20250618_134218,bd3eccc510a1,spark-worker-2,194.32%,1.448GiB / 10GiB,14.48%,5.36GB / 5.17GB,0B / 0B,77
20250618_134218,72ea5f833e39,spark-worker-1,197.95%,1.796GiB / 10GiB,17.96%,5.3GB / 5.41GB,0B / 0B,77
20250618_134218,d9db3658c991,spark-worker-4,196.20%,1.385GiB / 10GiB,13.85%,5.41GB / 5.32GB,0B / 0B,77
20250618_134218,ec39dfa29337,spark-worker-5,130.17%,1.322GiB / 10GiB,13.22%,5.4GB / 5.21GB,0B / 0B,79
20250618_134218,82e8dc373feb,spark-master,0.50%,757.6MiB / 4GiB,18.50%,47.2MB / 76.4MB,0B / 0B,113
20250618_134226,8896faf2c28a,spark-worker-3,63.40%,1.768GiB / 10GiB,17.68%,5.08GB / 5.42GB,0B / 0B,81
20250618_134226,bd3eccc510a1,spark-worker-2,129.80%,1.449GiB / 10GiB,14.49%,5.36GB / 5.17GB,0B / 0B,80
20250618_134226,72ea5f833e39,spark-worker-1,124.69%,1.796GiB / 10GiB,17.96%,5.3GB / 5.41GB,0B / 0B,80
20250618_134226,d9db3658c991,spark-worker-4,194.21%,1.385GiB / 10GiB,13.85%,5.41GB / 5.32GB,0B / 0B,80
20250618_134226,ec39dfa29337,spark-worker-5,180.10%,1.321GiB / 10GiB,13.21%,5.4GB / 5.21GB,0B / 0B,81
20250618_134226,82e8dc373feb,spark-master,2.35%,757.6MiB / 4GiB,18.50%,47.2MB / 76.5MB,0B / 0B,113
20250618_134233,8896faf2c28a,spark-worker-3,188.79%,1.78GiB / 10GiB,17.80%,5.08GB / 5.42GB,0B / 0B,81
20250618_134233,bd3eccc510a1,spark-worker-2,188.98%,1.453GiB / 10GiB,14.53%,5.36GB / 5.17GB,0B / 0B,80
20250618_134233,72ea5f833e39,spark-worker-1,186.54%,1.799GiB / 10GiB,17.99%,5.3GB / 5.41GB,0B / 0B,80
20250618_134233,d9db3658c991,spark-worker-4,188.88%,1.385GiB / 10GiB,13.85%,5.41GB / 5.32GB,0B / 0B,80
